 ,gas,electricity,heat_demand
393,0.9114,1.17222,1.58129342
394,0.9114,1.11265,1.51658867
395,0.9114,1.11158,1.44372025
396,0.9114,1.08379,1.43505506
397,0.9114,1.11986,1.4607964
398,0.9114,1.23152,1.4893672
399,0.9114,1.24355,1.54876042
400,0.9114,1.26398,1.55684359
401,0.9114,1.28121,1.54724332
402,0.9114,1.23233,1.6209293
403,0.9114,1.21616,1.12685762
404,0.9114,1.15833,1.13481406
405,0.9114,1.06256,1.13481406
406,0.9114,1.06376,1.09914633
407,0.9114,1.04599,1.1123327
408,0.89906,1.06135,1.1123327
409,0.89906,1.04332,1.1123327
410,0.89906,1.08152,1.1123327
411,0.89906,1.09862,1.10573952
412,0.89906,1.13655,1.11892589
413,0.89906,1.16193,1.11892589
414,0.89906,1.22845,1.1123327
415,0.89906,1.47302,1.15902078
416,0.89906,1.52351,1.57409506
417,0.89906,1.48958,1.49747706
418,0.89906,1.43869,1.46066749
419,0.89906,1.41879,1.4090851
420,0.89906,1.41772,1.40866145
421,0.89906,1.3687,1.42466309
422,0.89906,1.39769,1.42737334
423,0.89906,1.40704,1.52796157
424,0.89906,1.41852,1.61444517
425,0.89906,1.4992,1.66244648
426,0.89906,1.51376,1.73927294
427,0.89906,1.46474,1.24620423
428,0.89906,1.32275,1.26211711
429,0.89906,1.28816,1.27007355
430,0.89906,1.25423,1.22441685
431,0.89906,1.20695,1.23101004
432,0.89906,1.19773,1.23760322
433,0.89906,1.20721,1.24458646
434,0.89906,1.22792,1.25182457
435,0.89906,1.1801,1.26630079
436,0.89906,1.19479,1.25906268
437,0.89906,1.17716,1.25906268
438,0.89906,1.15192,1.26630079
439,0.89906,1.17222,1.23264123
440,0.89906,1.24101,1.07848584
441,0.89906,1.25316,1.0487034
442,0.89906,1.34012,0.9411066
443,0.89906,1.26265,0.81321226
444,0.89906,1.235,0.8880507
445,0.89906,1.22324,0.7933492
446,0.89906,1.1988,0.83669683
447,0.89906,1.237,0.97335719
448,0.89906,1.33745,1.1073856
449,0.89906,1.39381,1.12057197
450,0.89906,1.41732,1.14264332
451,0.89906,1.26318,1.19670556
452,0.89906,1.22631,1.20368881
453,0.89906,1.19573,1.21816502
454,0.89906,1.18517,1.32420565
455,0.89906,1.16207,1.38211051
456,0.88217,1.13455,1.41106294
457,0.88217,1.1248,1.38211051
458,0.88217,1.14871,1.36763429
459,0.88217,1.15005,1.36763429
460,0.88217,1.1598,1.36039618
461,0.88217,1.15846,1.35315808
462,0.88217,1.12053,1.33144375
463,0.88217,1.12146,1.27606988
464,0.88217,1.17649,1.16012363
465,0.88217,1.19653,1.03484209
466,0.88217,1.16567,1.04826726
467,0.88217,1.15579,0.99884913
468,0.88217,1.15111,0.91926532
469,0.88217,1.13001,1.01930729
470,0.88217,1.20748,0.99945058
471,0.88217,1.23673,1.13813282
472,0.88217,1.27186,1.17693212
473,0.88217,1.38753,1.17693212
474,0.88217,1.42427,1.17159575
475,0.88217,1.42854,1.23264123
476,0.88217,1.4029,1.22540313
477,0.88217,1.26318,1.21816502
478,0.88217,1.29243,1.24458646
479,0.88217,1.19239,1.23101004
480,0.87702,1.23874,1.21123048
481,0.87702,1.20508,1.2046373
482,0.87702,1.19279,1.18485774
483,0.87702,1.18224,1.17826455
484,0.87702,1.17997,1.18485774
485,0.87702,1.20788,1.19804411
486,0.87702,1.39395,1.18485774
487,0.87702,1.56038,1.25458836
488,0.87702,1.67311,1.6917688
489,0.87702,1.64573,1.61069868
490,0.87702,1.56599,1.57685026
491,0.87702,1.49867,1.53319395
492,0.87702,1.44056,1.59953499
493,0.87702,1.45272,1.55942626
494,0.87702,1.459,1.56228146
495,0.87702,1.51857,1.68846149
496,0.87702,1.57988,1.72004807
497,0.87702,1.67698,1.78724991
498,0.87702,1.67899,1.85761658
499,0.87702,1.56452,1.3526077
500,0.87702,1.48117,1.34400634
501,0.87702,1.40971,1.36120907
502,0.87702,1.29604,1.29525322
503,0.87702,1.23059,1.29525322
504,0.87797,1.2207,1.30972943
505,0.87797,1.21883,1.32420565
506,0.87797,1.21176,1.32420565
507,0.87797,1.19105,1.31696754
508,0.87797,1.19092,1.30972943
509,0.87797,1.19185,1.29525322
510,0.87797,1.32943,1.28801511
